adeliia-petrosian, 00:21:05, 00:21:14, womens
kimmy-repond, 01:56:01, 01:56:10, womens
jia-shin, 02:07:49, 02:07:58, womens
jia-shin, 02:08:24, 02:08:33, womens
jia-shin, 02:08:34, 02:08:43, womens
haein-lee, 02:12:59, 02:13:08, womens
haein-lee, 02:13:10, 02:13:19, womens
haein-lee, 02:14:43, 02:14:52, womens
sofia-samodelkina, 02:27:05, 02:27:14, womens
sofia-samodelkina, 02:26:17, 02:26:26, womens
sofia-samodelkina, 02:26:41, 02:26:50, womens
ami-nakai, 02:55:13, 02:55:22, womens
ami-nakai, 02:57:11, 02:57:20, womens
ami-nakai, 02:56:04, 02:56:13, womens
loena-hendrickx, 03:08:05, 03:08:14, womens
loena-hendrickx, 03:09:09, 03:09:18, womens
loena-hendrickx, 03:09:31, 03:09:40, womens
nina-pinzarrone, 03:15:50, 03:15:59, womens
nina-pinzarrone, 03:15:59, 03:16:08, womens
nina-pinzarrone, 03:16:20, 03:16:29, womens
lara-naki-gutmann, 03:26:58, 03:27:07, womens
lara-naki-gutmann, 03:27:08, 03:27:17, womens
lara-naki-gutmann, 03:29:12, 03:29:21, womens
alysa-liu, 03:42:04, 03:42:13, womens
alysa-liu, 03:43:12, 03:43:21, womens
alysa-liu, 03:43:40, 03:43:49, womens
isabeau-levito, 03:47:43, 03:47:52, womens
isabeau-levito, 03:48:16, 03:48:25, womens
anastasia-gubanova, 03:53:53, 03:54:02, womens
anastasia-gubanova, 03:54:29, 03:54:38, womens
anastasia-gubanova, 03:55:28, 03:55:37, womens
kaori-sakamoto, 04:00:52, 04:01:01, womens
kaori-sakamoto, 04:02:27, 04:02:36, womens
kaori-sakamoto, 04:02:47, 04:02:56, womens
amber-glenn, 04:07:25, 04:07:34, womens
amber-glenn, 04:08:21, 04:08:30, womens
mone-chiba, 04:14:56, 04:15:05, womens
mone-chiba, 04:15:20, 04:15:29, womens
mone-chiba, 04:15:30, 04:15:39, womens